BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,timestamp
BROOKLYN,11238.0,40.68266,-73.963005,"(40.68266, -73.963005)",,,950       FULTON STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4270085,Taxi,Sedan,,,,1578387360
MANHATTAN,10075.0,40.77564,-73.96263,"(40.77564, -73.96263)",MADISON AVENUE                  ,EAST 78 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4347870,Bus,Box Truck,,,,1599823860
MANHATTAN,10035.0,40.806915,-73.93557,"(40.806915, -73.93557)",LEXINGTON AVENUE                ,EAST 129 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4390205,Sedan,Sedan,,,,1612611600
BROOKLYN,11206.0,40.700012,-73.93607,"(40.700012, -73.93607)",BUSHWICK AVENUE,NOLL STREET,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,4420784,Station Wagon/Sport Utility Vehicle,E-Bike,,,,1622061600
MANHATTAN,10009.0,40.7281758,-73.9848573,"(40.7281758, -73.9848573)",EAST 9 STREET,1 AVENUE,,1,0,0,0,0,0,0,0,View Obstructed/Limited,Other Vehicular,,,,4468804,E-Scooter,Station Wagon/Sport Utility Vehicle,,,,1634619240
BROOKLYN,11233.0,40.681297,-73.93472,"(40.681297, -73.93472)",DECATUR STREET                  ,LEWIS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4326664,Bus,Station Wagon/Sport Utility Vehicle,,,,1594041180
MANHATTAN,10021.0,40.76812,-73.95887,"(40.76812, -73.95887)",2 AVENUE                        ,EAST 71 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4282893,Station Wagon/Sport Utility Vehicle,Box Truck,,,,1580736000
BROOKLYN,11249.0,40.70226,-73.95905,"(40.70226, -73.95905)",,,634       BEDFORD AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4321868,Sedan,Bus,,,,1592724300
BRONX,10451.0,40.829628,-73.92118,"(40.829628, -73.92118)",GRAND CONCOURSE                 ,EAST 164 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4268010,Ambulance,Sedan,,,,1577970000
QUEENS,11420.0,40.675964,-73.8182,"(40.675964, -73.8182)",ROCKAWAY BOULEVARD              ,120 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4291791,Sedan,Station Wagon/Sport Utility Vehicle,,,,1582317240
BROOKLYN,11224.0,40.57366,-74.00498,"(40.57366, -74.00498)",,,3841      ATLANTIC AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,4343204,Station Wagon/Sport Utility Vehicle,,,,,1598358600
MANHATTAN,10027.0,40.814144,-73.95571,"(40.814144, -73.95571)",AMSTERDAM AVENUE                ,WEST 126 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4323679,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1593102240
QUEENS,11416.0,40.68815,-73.84884,"(40.68815, -73.84884)",ATLANTIC AVENUE,WOODHAVEN BOULEVARD,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,Unspecified,,,4463233,Sedan,Open Body,Open Body,,,1633199940
MANHATTAN,10033.0,40.850166,-73.93576,"(40.850166, -73.93576)",WEST 181 STREET                 ,BROADWAY,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4317087,Motorcycle,,,,,1590885000
QUEENS,11414.0,40.66372,-73.832344,"(40.66372, -73.832344)",157 AVENUE                      ,102 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4297040,Pick-up Truck,,,,,1583261940
BRONX,10462.0,40.854443,-73.86482,"(40.854443, -73.86482)",WALLACE AVENUE                  ,LYDIG AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4313810,Station Wagon/Sport Utility Vehicle,Bike,,,,1589050320
BRONX,10453.0,40.861862,-73.91282,"(40.861862, -73.91282)",MAJOR DEEGAN EXPRESSWAY         ,WEST FORDHAM ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4291723,Pick-up Truck,Sedan,,,,1582350300
QUEENS,11427.0,40.727806,-73.74743,"(40.727806, -73.74743)",,,88-16     217 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4342201,Box Truck,Sedan,,,,1597076220
QUEENS,11420.0,40.68083,-73.827194,"(40.68083, -73.827194)",109 AVENUE                      ,113 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Driver Inattention/Distraction,,,,4270185,Sedan,Sedan,,,,1578435540
BRONX,10463.0,40.888504,-73.91308,"(40.888504, -73.91308)",,,3720      INDEPENDENCE AVENUE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4485039,Sedan,,,,,1638707400
BRONX,10456.0,40.82552,-73.90812,"(40.82552, -73.90812)",,,3304      3 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4295795,Sedan,Sedan,,,,1583108700
QUEENS,11414.0,40.66252,-73.84071,"(40.66252, -73.84071)",CROSS BAY BOULEVARD             ,157 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4367098,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1605189180
MANHATTAN,10017.0,40.75348,-73.980896,"(40.75348, -73.980896)",WEST 42 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4407119,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1618374900
QUEENS,11368.0,,,,NORTHERN BOULEVARD              ,126 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4286237,Sedan,Station Wagon/Sport Utility Vehicle,,,,1581229200
QUEENS,11378.0,40.72325,-73.888824,"(40.72325, -73.888824)",71 STREET,60 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4479671,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,,1637511600
BROOKLYN,11215.0,40.673965,-73.98571,"(40.673965, -73.98571)",4 AVENUE                        ,3 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4297115,Sedan,Station Wagon/Sport Utility Vehicle,,,,1583232300
QUEENS,11375.0,40.71465,-73.835526,"(40.71465, -73.835526)",AUSTIN STREET                   ,77 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Other Vehicular,,,,4275020,Station Wagon/Sport Utility Vehicle,Sedan,,,,1579339200
QUEENS,11412.0,40.688236,-73.76196,"(40.688236, -73.76196)",FARMERS BOULEVARD               ,119 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4351498,Sedan,Sedan,,,,1601018700
QUEENS,11435.0,40.69747,-73.80929,"(40.69747, -73.80929)",,,143-09    95 AVENUE,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4443711,Sedan,Sedan,,,,1627923000
QUEENS,11354.0,40.764454,-73.83178,"(40.764454, -73.83178)",FARRINGTON STREET,35 AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Failure to Yield Right-of-Way,,,,4419116,Station Wagon/Sport Utility Vehicle,fork lift,,,,1621673100
BROOKLYN,11204.0,40.625652,-73.979965,"(40.625652, -73.979965)",,,5110      19 AVENUE                     ,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,4308640,Station Wagon/Sport Utility Vehicle,Sedan,,,,1586451600
BRONX,10451.0,40.815044,-73.92743,"(40.815044, -73.92743)",EAST 141 STREET                 ,PARK AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4375859,Station Wagon/Sport Utility Vehicle,,,,,1607727600
STATEN ISLAND,10309.0,40.516335,-74.23283,"(40.516335, -74.23283)",PAGE AVENUE                     ,AMBOY ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4299235,Sedan,,,,,1583875140
STATEN ISLAND,10301.0,40.6151863,-74.1025669,"(40.6151863, -74.1025669)",CLOVE ROAD,DUDLEY AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,4467877,Sedan,Sedan,,,,1634222400
BROOKLYN,11203.0,40.660175,-73.9282,"(40.660175, -73.9282)",REMSEN AVENUE                   ,EAST 53 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4361642,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,,1603727040
BROOKLYN,11212.0,40.66854,-73.91337,"(40.66854, -73.91337)",,,489       BOYLAND STREET                ,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,4320234,Station Wagon/Sport Utility Vehicle,Sedan,,,,1592134200
BROOKLYN,11225.0,40.663876,-73.95161,"(40.663876, -73.95161)",,,329       EMPIRE BOULEVARD              ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4384714,Sedan,Bus,,,,1610800800
BRONX,10466.0,40.87987,-73.842026,"(40.87987, -73.842026)",BOSTON ROAD                     ,BRUNER AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,,,,,4352894,Station Wagon/Sport Utility Vehicle,,,,,1599042240
BRONX,10472.0,40.828327,-73.88235,"(40.828327, -73.88235)",,,1440      WESTCHESTER AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4483968,Station Wagon/Sport Utility Vehicle,Bike,,,,1635878280
QUEENS,11433.0,40.69976,-73.7857,"(40.69976, -73.7857)",,,107-27    171 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4443173,Sedan,Box Truck,,,,1627642800
BROOKLYN,11204.0,40.622086,-73.984276,"(40.622086, -73.984276)",,,1877      58 STREET,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4484867,Sedan,Station Wagon/Sport Utility Vehicle,,,,1638970680
BROOKLYN,11224.0,40.576744,-73.98372,"(40.576744, -73.98372)",MERMAID AVENUE,WEST 16 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4437849,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1626352800
QUEENS,11413.0,40.665478,-73.748795,"(40.665478, -73.748795)",EDGEWOOD AVENUE,SOUTH CONDUIT AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4458419,Station Wagon/Sport Utility Vehicle,Sedan,,,,1631982600
BRONX,10460.0,40.83614,-73.866135,"(40.83614, -73.866135)",,,1434      TAYLOR AVENUE                 ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4399816,Bus,Pick-up Truck,,,,1615994700
QUEENS,11373.0,,,,79 STREET                       ,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4344327,Station Wagon/Sport Utility Vehicle,,,,,1599030000
BROOKLYN,11234.0,40.622433,-73.9321,"(40.622433, -73.9321)",,,1561      EAST 45 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4372636,AMBULANCE,Station Wagon/Sport Utility Vehicle,,,,1606849740
BROOKLYN,11212.0,40.65711,-73.91335,"(40.65711, -73.91335)",LOTT AVENUE                     ,STRAUSS STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4310715,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,1588025700
QUEENS,11435.0,40.71771,-73.81373,"(40.71771, -73.81373)",,,147-17    CHARTER ROAD                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4357270,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1602518100
BROOKLYN,11228.0,40.617268,-74.01921,"(40.617268, -74.01921)",,,1053      86 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4465400,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1633706520
MANHATTAN,10014.0,40.73222,-74.00356,"(40.73222, -74.00356)",7 AVENUE SOUTH,BLEECKER STREET,,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4432243,,,,,,1624828740
BROOKLYN,11222.0,40.736275,-73.95852,"(40.736275, -73.95852)",CLAY STREET                     ,COMMERCIAL STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,4389906,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,1612651740
BRONX,10453.0,40.848537,-73.90678,"(40.848537, -73.90678)",GRAND CONCOURSE                 ,MOUNT HOPE PLACE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4404852,Sedan,Sedan,,,,1617646800
QUEENS,11430.0,,,,VANWYCK EXPRESSWAY,BELT PARKWAY,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4465136,Sedan,Tractor Truck Diesel,,,,1633551180
BROOKLYN,11212.0,40.66461,-73.92541,"(40.66461, -73.92541)",,,48        EAST 96 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4485300,Sedan,,,,,1639003500
QUEENS,11434.0,40.65965,-73.773834,"(40.65965, -73.773834)",FARMERS BOULEVARD               ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4269908,Station Wagon/Sport Utility Vehicle,Box Truck,,,,1578392100
BROOKLYN,11230.0,40.634724,-73.967476,"(40.634724, -73.967476)",,,931       CONEY ISLAND AVENUE           ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4305037,Sedan,Box Truck,,,,1585737000
BROOKLYN,11212.0,40.670532,-73.91488,"(40.670532, -73.91488)",EAST NEW YORK AVENUE,AMBOY STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4428064,Sedan,Pick-up Truck,,,,1623775800
BROOKLYN,11222.0,40.72845,-73.94309,"(40.72845, -73.94309)",,,259       MONITOR STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,4335173,Sedan,,,,,1596549600
QUEENS,11364.0,40.75048,-73.758804,"(40.75048, -73.758804)",58 AVENUE                       ,220 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4293160,Sedan,Station Wagon/Sport Utility Vehicle,,,,1581690600
BROOKLYN,11208.0,40.687206,-73.875145,"(40.687206, -73.875145)",,,60        EUCLID AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,4396111,Station Wagon/Sport Utility Vehicle,,,,,1614760200
BRONX,10451.0,,,,MAJOR DEEGAN EXPRESSWAY         ,EAST 138 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,4275069,Sedan,Station Wagon/Sport Utility Vehicle,,,,1579346340
BROOKLYN,11235.0,40.589348,-73.941765,"(40.589348, -73.941765)",AVENUE Z                        ,EAST 28 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4380342,E-Scooter,Sedan,,,,1609265580
BRONX,10457.0,40.845264,-73.890816,"(40.845264, -73.890816)",,,707       EAST TREMONT AVENUE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Other Vehicular,,,,4476256,Station Wagon/Sport Utility Vehicle,Sedan,,,,1636569420
BROOKLYN,11207.0,40.676746,-73.89713,"(40.676746, -73.89713)",,,50        PENNSYLVANIA AVENUE           ,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,4382394,Sedan,Station Wagon/Sport Utility Vehicle,,,,1609947180
BRONX,10465.0,40.8228,-73.82755,"(40.8228, -73.82755)",,,680       BALCOM AVENUE                 ,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,Driver Inattention/Distraction,,,,4331302,Sedan,Sedan,,,,1595414700
BROOKLYN,11221.0,40.691593,-73.92996,"(40.691593, -73.92996)",,,455       VAN BUREN STREET              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4347902,Taxi,,,,,1598979600
BROOKLYN,11222.0,40.722317,-73.940445,"(40.722317, -73.940445)",,,652       MEEKER AVENUE,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4477573,Station Wagon/Sport Utility Vehicle,Bike,,,,1636927800
QUEENS,11105.0,40.7804561,-73.9168286,"(40.7804561, -73.9168286)",21 STREET,DITMARS BOULEVARD,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4466353,Station Wagon/Sport Utility Vehicle,E-Scooter,,,,1633961700
QUEENS,11385.0,40.704178,-73.88953,"(40.704178, -73.88953)",70 AVENUE,66 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4435771,Sedan,Sedan,,,,1625691600
QUEENS,11362.0,40.768013,-73.73799,"(40.768013, -73.73799)",,,249-26    NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4387174,Sedan,Sedan,,,,1611763020
QUEENS,11434.0,40.69165,-73.779205,"(40.69165, -73.779205)",MERRICK BOULEVARD               ,LINDEN BOULEVARD,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4337155,Sedan,Sedan,,,,1597082700
BRONX,10463.0,,,,VANCORTLANDT PARK SOUTH,PUTNAM AVENUE WEST,,0,0,0,0,0,0,0,0,Unspecified,,,,,4473706,Sedan,Sedan,,,,1635457500
MANHATTAN,10009.0,40.732727,-73.97451,"(40.732727, -73.97451)",AVENUE C                        ,EAST 20 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4337534,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,,1597169640
QUEENS,11101.0,40.750248,-73.950516,"(40.750248, -73.950516)",10 STREET,44 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4437189,Station Wagon/Sport Utility Vehicle,,,,,1626274800
BROOKLYN,11228.0,40.618576,-73.99992,"(40.618576, -73.99992)",,,1553      72 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,4371479,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1606575600
QUEENS,11357.0,40.77519,-73.79854,"(40.77519, -73.79854)",FRANCIS LEWIS BOULEVARD,24 ROAD,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4476967,Sedan,Moped,,,,1636839360
QUEENS,11379.0,40.712727,-73.87935,"(40.712727, -73.87935)",METROPOLITAN AVENUE,73 PLACE,,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4478338,Station Wagon/Sport Utility Vehicle,,,,,1636816800
QUEENS,11413.0,40.675213,-73.7378,"(40.675213, -73.7378)",MERRICK BOULEVARD               ,232 STREET,,2,0,0,0,0,0,2,0,Other Vehicular,Unspecified,,,,4303048,Sedan,Station Wagon/Sport Utility Vehicle,,,,1584899400
BRONX,10453.0,40.8534742,-73.9064496,"(40.8534742, -73.9064496)",EAST BURNSIDE AVENUE,WALTON AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4468278,Station Wagon/Sport Utility Vehicle,Sedan,,,,1634491140
BROOKLYN,11234.0,40.62124,-73.929085,"(40.62124, -73.929085)",EAST 48 STREET                  ,AVENUE M,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,4293655,Station Wagon/Sport Utility Vehicle,Sedan,,,,1582648740
QUEENS,11385.0,40.700317,-73.90454,"(40.700317, -73.90454)",,,56-47     MYRTLE AVENUE                 ,1,0,0,0,1,0,0,0,Pavement Slippery,Unspecified,,,,4278594,Station Wagon/Sport Utility Vehicle,E-Scooter,,,,1579370400
QUEENS,11434.0,40.671566,-73.78466,"(40.671566, -73.78466)",ROCKAWAY BOULEVARD              ,132 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4398722,Sedan,,,,,1615669380
MANHATTAN,10011.0,40.747715,-74.004265,"(40.747715, -74.004265)",,,500       WEST 23 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,,,,4490895,Sedan,Station Wagon/Sport Utility Vehicle,,,,1640738400
QUEENS,11355.0,40.752262,-73.83446,"(40.752262, -73.83446)",,,131-35    AVERY AVENUE                  ,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,,,,4373104,Flat Bed,Box Truck,,,,1607081400
QUEENS,11101.0,40.754494,-73.94431,"(40.754494, -73.94431)",,,41-13     12 STREET,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4436337,Sedan,Sedan,,,,1626098400
BROOKLYN,11214.0,40.605934,-74.000465,"(40.605934, -74.000465)",86 STREET                       ,19 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4274819,Sedan,Station Wagon/Sport Utility Vehicle,,,,1579263300
QUEENS,11428.0,40.72179,-73.73878,"(40.72179, -73.73878)",,,218-16    93 AVENUE                     ,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4309278,Station Wagon/Sport Utility Vehicle,,,,,1587113700
QUEENS,11692.0,40.59359,-73.79726,"(40.59359, -73.79726)",,,437       BEACH 68 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4431915,Sedan,,,,,1624667400
BROOKLYN,11234.0,40.634964,-73.932076,"(40.634964, -73.932076)",,,4612      GLENWOOD ROAD                 ,0,0,0,0,0,0,0,0,Steering Failure,Unspecified,,,,4375936,Sedan,Sedan,,,,1607932800
QUEENS,11355.0,40.75887,-73.82064,"(40.75887, -73.82064)",PARSONS BOULEVARD               ,SANFORD AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4272856,Station Wagon/Sport Utility Vehicle,,,,,1578944040
BROOKLYN,11218.0,40.642204,-73.991936,"(40.642204, -73.991936)",FORT HAMILTON PARKWAY,41 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4473058,Station Wagon/Sport Utility Vehicle,Bike,,,,1635461040
MANHATTAN,10002.0,40.717922,-73.9931,"(40.717922, -73.9931)",FORSYTH STREET                  ,GRAND STREET,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,4383243,Refrigerated Van,Van,,,,1610150400
BRONX,10461.0,40.85283,-73.85451,"(40.85283, -73.85451)",,,1948      TOMLINSON AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,,,,,4335588,Sedan,,,,,1596549600
MANHATTAN,10022.0,40.764896,-73.97256,"(40.764896, -73.97256)",5 AVENUE                        ,EAST 60 STREET,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4320573,Bike,Bus,,,,1592297520
QUEENS,11417.0,40.67215,-73.843185,"(40.67215, -73.843185)",CROSS BAY BOULEVARD,PITKIN AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4443107,Sedan,Sedan,,,,1627938240
BROOKLYN,11203.0,40.647076,-73.94435,"(40.647076, -73.94435)",EAST 35 STREET                  ,TILDEN AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,4309814,Sedan,Sedan,Sedan,,,1587412980
MANHATTAN,10036.0,40.76275,-73.99692,"(40.76275, -73.99692)",11 AVENUE                       ,WEST 45 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4357190,Station Wagon/Sport Utility Vehicle,Sedan,,,,1602415200
BRONX,10452.0,40.83636,-73.91817,"(40.83636, -73.91817)",,,105       EAST 168 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,4460255,Sedan,,,,,1629797400
QUEENS,11368.0,40.749718,-73.86419,"(40.749718, -73.86419)",ROOSEVELT AVENUE,102 STREET,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4466073,Station Wagon/Sport Utility Vehicle,E-Bike,,,,1633891200
BROOKLYN,11215.0,40.650288,-73.9978,"(40.650288, -73.9978)",36 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4485812,Station Wagon/Sport Utility Vehicle,,,,,1639191900
BRONX,10458.0,,,,MARION AVENUE                   ,EAST BEDFORD PARK BOULEVARD,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4370076,Station Wagon/Sport Utility Vehicle,Sedan,,,,1605647220
QUEENS,11417.0,40.678314,-73.84312,"(40.678314, -73.84312)",95 STREET                       ,108 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4334284,Station Wagon/Sport Utility Vehicle,,,,,1596367800
STATEN ISLAND,10312.0,,,,,,25        PUTNAM STREET                 ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4386581,Bike,,,,,1610722620
QUEENS,11434.0,40.682568,-73.79266,"(40.682568, -73.79266)",SUTPHIN BOULEVARD,116 AVENUE,,1,0,0,0,0,0,1,0,Aggressive Driving/Road Rage,Unspecified,,,,4452440,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1628464500
BRONX,10451.0,40.825424,-73.923485,"(40.825424, -73.923485)",EAST 158 STREET                 ,GRAND CONCOURSE,,0,0,0,0,0,0,0,0,Driverless/Runaway Vehicle,Unspecified,Unspecified,,,4397223,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1615066200
BRONX,10468.0,40.879547,-73.885796,"(40.879547, -73.885796)",,,40        WEST MOSHOLU PARKWAY SOUTH,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,,,,,4458783,Station Wagon/Sport Utility Vehicle,,,,,1631566200
MANHATTAN,10023.0,40.77428,-73.97738,"(40.77428, -73.97738)",WEST 69 STREET                  ,CENTRAL PARK WEST,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4334150,Station Wagon/Sport Utility Vehicle,,,,,1596200280
QUEENS,11375.0,40.721363,-73.84808,"(40.721363, -73.84808)",AUSTIN STREET                   ,69 ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4290334,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1582028100
