BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,timestamp
BROOKLYN,11222.0,40.728928,-73.953705,"(40.728928, -73.953705)",,,842       MANHATTAN AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4434047,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1625310000
BROOKLYN,11234.0,40.635258,-73.92745,"(40.635258, -73.92745)",KINGS HIGHWAY                   ,GLENWOOD ROAD,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4393585,Sedan,,,,,1613803200
QUEENS,11434.0,40.689915,-73.7779,"(40.689915, -73.7779)",115 AVENUE                      ,MERRICK BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4315930,Sedan,Sedan,,,,1590160200
QUEENS,11420.0,40.666332,-73.81056,"(40.666332, -73.81056)",SOUTH CONDUIT AVENUE            ,130 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4386716,Station Wagon/Sport Utility Vehicle,Sedan,,,,1611588600
MANHATTAN,10026.0,40.803486,-73.94714,"(40.803486, -73.94714)",,,71        WEST 119 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,4486948,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1639450200
QUEENS,11417.0,40.67812,-73.85828,"(40.67812, -73.85828)",79 STREET,GLENMORE AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,,4463685,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,1633237200
QUEENS,11433.0,40.699764,-73.78285,"(40.699764, -73.78285)",173 STREET,108 AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,4452087,Sedan,Sedan,,,,1630164900
BROOKLYN,11234.0,40.611004,-73.91053,"(40.611004, -73.91053)",MILL AVENUE,EAST 60 PLACE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,View Obstructed/Limited,,,,4460576,Station Wagon/Sport Utility Vehicle,Sedan,,,,1632498720
QUEENS,11354.0,40.76758,-73.83185,"(40.76758, -73.83185)",,,32-05     LINDEN PLACE,1,0,1,0,0,0,0,0,View Obstructed/Limited,,,,,4420042,Sedan,,,,,1621879200
BRONX,10451.0,40.817387,-73.92277,"(40.817387, -73.92277)",EAST 149 STREET                 ,MORRIS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4299396,Taxi,Station Wagon/Sport Utility Vehicle,,,,1584015600
MANHATTAN,10019.0,40.7670445,-73.9828659,"(40.7670445, -73.9828659)",,,977       8 AVENUE,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4466337,Sedan,Sedan,,,,1633867200
BROOKLYN,11221.0,40.69335,-73.934135,"(40.69335, -73.934135)",STUYVESANT AVENUE,DE KALB AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,4487121,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,1639696740
BROOKLYN,11217.0,40.684814,-73.98353,"(40.684814, -73.98353)",NEVINS STREET                   ,DEAN STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4370877,Sedan,,,,,1606058100
BROOKLYN,11226.0,40.655544,-73.956345,"(40.655544, -73.956345)",,,2015      BEDFORD AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4488932,Sedan,,,,,1640160900
QUEENS,11434.0,40.65616,-73.76736,"(40.65616, -73.76736)",ROCKAWAY BOULEVARD              ,BREWER BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4303383,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1584993840
BRONX,10461.0,40.847263,-73.844795,"(40.847263, -73.844795)",,,1733      EASTCHESTER ROAD              ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4339127,Station Wagon/Sport Utility Vehicle,,,,,1597666320
BROOKLYN,11207.0,40.677753,-73.90334,"(40.677753, -73.90334)",,,2         VAN SIDERIN AVENUE            ,0,0,0,0,0,0,0,0,Unspecified,,,,,4310314,Sedan,,,,,1587807000
BRONX,10457.0,40.84442,-73.8984,"(40.84442, -73.8984)",EAST 175 STREET,BATHGATE AVENUE,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4435971,Station Wagon/Sport Utility Vehicle,Sedan,,,,1626055200
QUEENS,11414.0,40.659042,-73.83121,"(40.659042, -73.83121)",,,159-54    102 STREET,1,0,1,0,0,0,0,0,Brakes Defective,Unspecified,,,,4426817,Sedan,Sedan,,,,1623518100
BRONX,10453.0,40.857018,-73.90362,"(40.857018, -73.90362)",WALTON AVENUE                   ,EAST 182 STREET,,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4290897,Sedan,,,,,1582119900
QUEENS,11373.0,40.737953,-73.866394,"(40.737953, -73.866394)",,,55-16     JUNCTION BOULEVARD            ,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4375650,Station Wagon/Sport Utility Vehicle,Sedan,,,,1607808120
QUEENS,11434.0,40.680523,-73.7633,"(40.680523, -73.7633)",MERRICK BOULEVARD               ,EVELETH ROAD,,1,0,1,0,0,0,0,0,Unspecified,,,,,4381057,Station Wagon/Sport Utility Vehicle,,,,,1609597740
